employer	state	city	naics	category	careers_url
3 FLAGS DIRY LLC	OH	FOREST	11	Agriculture	https://careers.3-flags-diry.com
ABS GLOBAL INC	WI	DE FOREST	11	Agriculture	https://careers.abs-global.com
AES CLEAN ENERGY SERVICES LLC	IN	INDIANAPOLIS	21	Agriculture	https://careers.aes-clean-energy-services.com
AGNICO EAGLE USA LIMITED	NV	RENO	21	Agriculture	https://careers.agnico-eagle-usa-limited.com
AMERIGAS PROPANE INC	PA	KING OF PRUSSIA	21	Agriculture	https://careers.amerigas-propane.com
APEEL TECHNOLOGY INC	CA	GOLETA	11	Agriculture	https://careers.apeel.com
ARCTIC SLOPE REGIONAL CORPORATION	AK	ANCHORAGE	21	Agriculture	https://careers.arctic-slope-regional-corporation.com
ATLAS OPERATING LLC	TX	HOUSTON	21	Agriculture	https://careers.atlas-operating.com
AURORA ORGANIC FARMS INC	CO	BOULDER	11	Agriculture	https://careers.aurora-organic-farms.com
AXIP SERVICES COMPANY LLC DBA AXIP ENERGY SERVICES	TX	HOUSTON	21	Agriculture	https://careers.axip-services-company-llc-dba-axip-energy.com
BEL AIRE FARM LLC	NY	NEW YORK	11	Agriculture	https://careers.bel-aire-farm.com
BHP MINERALS SERVICE COMPANY	AZ	TUCSON	21	Agriculture	https://careers.bhp-minerals-service.com
BISN OIL TOOLS LLC	TX	HOUSTON	21	Agriculture	https://careers.bisn-oil-tools.com
BONITA PACKING CO	CA	SANTA MARIA	11	Agriculture	https://careers.bonita-packing.com
BOWERY FARMING INC	NY	NEW YORK	11	Agriculture	https://careers.bowery-farming.com
BP AMERICA INC	TX	HOUSTON	21	Agriculture	
BRIGHTFARMS INC	NY	IRVINGTON	11	Agriculture	https://careers.brightfarms.com
BUD ANTLE INC	CA	MONTEREY	11	Agriculture	https://careers.bud-antle.com
CALIFORNIA GIANT INC	CA	WATSONVILLE	11	Agriculture	https://careers.california-giant.com
CALIFORNIA RESOURCES CORPORATION	CA	LONG BEACH	21	Agriculture	https://careers.california-resources-corporation.com
CENTER FOR FAMILY GUIDANCE PC	NJ	MARLTON	21	Agriculture	https://careers.center-for-family-guidance.com
CHAMPIONX RESOURCES INC	TX	SUGAR LAND	21	Agriculture	https://careers.championx-resources.com
CHERRYFIELD FOODS INC	ME	CHERRYFIELD	11	Agriculture	https://careers.cherryfield-foods.com
CHEVRON CORPORATION			21	Agriculture	https://careers.chevron-corporation.com
CHRISTENSEN FARMS FEEDLOTS INC	MN	SLEEPY EYE	11	Agriculture	https://careers.christensen-farms-feedlots.com
CITGO PETRELEUM CORPORATION	TX	HOUSTON	21	Agriculture	https://careers.citgo-petreleum-corporation.com
CK DAIRY ENTERPRISES LLC	CO	BERTHOUD	11	Agriculture	https://careers.ck-dairy-enterprises.com
CLIMAX MOLYBDENUM COMPANY	AZ	PHOENIX	21	Agriculture	https://careers.climax-molybdenum.com
COBALT CATTLE COMPANY LLC	KS	GARDEN CITY	11	Agriculture	https://careers.cobalt-cattle-company.com
