employer	state	city	naics	category	careers_url
2U INC	MD	LANHAM	61	Education	
4 QUL MANAGEMENT LLC	TX	SUGAR LAND	61	Education	https://careers.4-qul-management.com
A PLUS INTERNATIONAL CULTURE COMMUNICATION INC	MI	LANSING	61	Education	https://careers.a-plus-international-culture-communication.com
A T STILL UNIVERSITY OF HEALTH SCIENCES	MO	KIRKSVILLE	61	Education	https://careers.a-t-still-university-of-health-sciences.com
ABILENECHRISTIAN UNIVERSITY	TX	ABILENE	61	Education	https://careers.abilenechristian-university.com
ABINTRA MONTESSORI SCHOOL	TN	NASHVILLE	61	Education	https://careers.abintra-montessori-school.com
ACADEMIC COLLABORATION FOR EXCELLENCE LLC	NY	BALLSTON LAKE	61	Education	https://careers.academic-collaboration-for-excellence.com
ACHIEVEKIDS	CA	PALO ALTO	61	Education	https://careers.achievekids.com
ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL	NY	BROOKLYN	61	Education	https://careers.achievement-first-bushwick-charter-school.com
ACHIEVEMENT NETWORK LTD	MA	BOSTON	61	Education	https://careers.achievement-network.com
ACT INC	IA	IOWA CITY	61	Education	https://careers.act.com
ADAMS STATE UNIVERSITY	CO	ALAMOSA	61	Education	https://careers.adams-state-university.com
ADELPHI UNIVERSITY	NY	GARDEN CITY	61	Education	https://careers.adelphi-university.com
ADMISSIAN LLC	OH	COLUMBUS	61	Education	https://careers.admissian.com
ADVANCED ASSESSMENT SYSTEMS INC DBA LINKIT SOFTWARE	NY	NEW YORK	61	Education	https://careers.advanced-assessment-systems-inc-dba-linkit-software.com
ADVANTAGE ACADEMY OF MIAMI INC	FL	CORAL SPRINGS	61	Education	https://careers.advantage-academy-of-miami.com
ADVENTHEALTH UNIVERSITY INC	FL	ALTAMONTE SPRINGS	61	Education	https://careers.adventhealth-university.com
ALABAMA AGRICULTURAL AND MECHANICAL UNIVERSITY	AL	HUNTSVILLE	61	Education	https://careers.alabama-agricultural-and-mechanical-university.com
ALABAMA STATE UNIVERSITY	AL	MONTGOMERY	61	Education	https://careers.alabama-state-university.com
ALBANY MEDICAL COLLEGE	NY	ALBANY	61	Education	https://careers.albany-medical-college.com
ALBANY STATE UNIVERSITY	GA	ALBANY	61	Education	https://careers.albany-state-university.com
ALBERT EINSTEIN COLLEGE O MEDICINE	NY	BRONX	61	Education	https://careers.albert-einstein-college-o-medicine.com
ALBERT EINSTEIN COLLEGE OFMEDICINE			61	Education	https://careers.albert-einstein-college-ofmedicine.com
ALBERTUS MAGNUS COLLEGE	CT	NEW HAVEN	61	Education	https://careers.albertus-magnus-college.com
ALBUQUERQUE PUBLIC SCHOOLS	NM	ALBUQUERQUE	61	Education	https://careers.albuquerque-public-schools.com
ALBUQUERQUE SCHOOL OF EXCELLENCE	NM	ALBUQUERQUE	61	Education	https://careers.albuquerque-school-of-excellence.com
ALDINE INDEPENDENT SCHOOL DISTRICT	TX	HOUSTON	61	Education	https://careers.aldine-independent-school-district.com
ALEXANDRIA CITY PUBLIC SCHOOLS	VA	ALEXANDRIA	61	Education	https://careers.alexandria-city-public-schools.com
ALFRED UNIVERSITY	NY	ALFRED	61	Education	https://careers.alfred-university.com
ALGORITHM OF LEARNING INC	TX	AUSTIN	61	Education	https://careers.algorithm-of-learning.com
ALIEF INDEPENDENT SCHOOL DISTRICT			61	Education	https://careers.alief-independent-school-district.com
ALLEGHENY COLLEGE	PA	MEADVILLE	61	Education	https://careers.allegheny-college.com
ALLEN CHASE FOUNDATION D B A EAGLEBROOK SCHOOL	MA	DEERFIELD	61	Education	https://careers.allen-chase-foundation-d-b-a-eaglebrook-school.com
ALLENDALE COUNTY SCHOOL DISTRICT	SC	FAIRFAX	61	Education	https://careers.allendale-county-school-district.com
ALLSCHOOL INC	CA	SAN MATEO	61	Education	https://careers.allschool.com
ALPHA ACADEMY	NC	FAYETTEVILLE	61	Education	https://careers.alpha-academy.com
ALPHA PUBLIC SCHOOLS INC	CA	SAN JOSE	61	Education	https://careers.alpha-public-schools.com
ALUM ROCK UNION ELEMENTARY SCHOOL DISTRICT	CA	SAN JOSE	61	Education	https://careers.alum-rock-union-elementary-school-district.com
AMDA INC			61	Education	https://careers.amda.com
AMERICA CAN	TX	DALLAS	61	Education	https://careers.america-can.com
AMERICA EVANGELICAL UNIVERSITY	CA	GARDENA	61	Education	https://careers.america-evangelical-university.com
AMERICAN EDUCATION CENTER INC	NY	NEW YORK	61	Education	https://careers.american-education-center.com
AMERICAN HERITAGE SCHOOLS INC AMERICA HERITAGE WORLDWIDE CAMPUS	UT	AMERICAN FORK	61	Education	https://careers.american-heritage-schools-inc-america-heritage-worldwide-campus.com
AMERICAN INDIAN COLLEGE FUND			61	Education	https://careers.american-indian-college-fund.com
AMERICAN INTERNATIONAL MONTESSORI SCHOOL INC	CA	BERKELEY	61	Education	https://careers.american-international-montessori-school.com
AMERICAN LEADERSHIP UNIVERSITY	CA	ORANGE	61	Education	https://careers.american-leadership-university.com
AMERICAN UNIVERSITY	DC	WASHINGTON	61	Education	https://careers.american-university.com
AMERICAN YOUTH ACADEMY	FL	TAMPA	61	Education	https://careers.american-youth-academy.com
ANCHORAGE SCHOOL DISTRICT	AK	ANCHORAGE	61	Education	https://careers.anchorage-school-district.com
ANDELA INC	NY	NEW YORK	61	Education	https://careers.andela.com
