employer	state	city	naics	category	careers_url
AES PUERTO RICO LP	IN	INDIANAPOLIS	22	Energy	https://careers.aes-puerto-rico.com
AES SERVICES INC	IN	INDIANAPOLIS	22	Energy	https://careers.aes.com
AES US SERVICES LLC	IN	INDIANAPOLIS	22	Energy	https://careers.aes-us-services.com
ALLIANCE FOR COOPERATIVE ENERGY SERVICES POWER MARKETING LLC	IN	CARMEL	22	Energy	https://careers.alliance-for-cooperative-energy-services-power-marketing.com
AMEREN SERVICES COMPANY	MO	SAINT LOUIS	22	Energy	https://careers.ameren.com
AMERICAN ELECTRIC POWER	OH	COLUMBUS	22	Energy	https://careers.american-electric-power.com
AMERICAN WATER WORKS SERVICE COMPANY INC	NJ	CAMDEN	22	Energy	https://careers.american-water-works-service.com
AQUARECYCLE LLC	GA	MARIETTA	22	Energy	https://careers.aquarecycle.com
ARIZONA PUBLIC SERVICE COMPANY APSC APS	AZ	PHOENIX	22	Energy	https://careers.arizona-public-service-company-apsc-aps.com
ATMOS ENERGY CORPORATION			22	Energy	https://careers.atmos-energy-corporation.com
AVANGRID RENEWABLES LLC	OR	PORTLAND	22	Energy	https://careers.avangrid-renewables.com
AVANGRID SERVICE COMPANY	CT	ORANGE	22	Energy	https://careers.avangrid-service.com
BALTIMORE GAS & ELECTRIC CO AN EXELON COMPANY	PA	KENNETT SQ	22	Energy	https://careers.baltimore-gas-electric-co-an-exelon.com
BATTELLE ENERGY ALLIANCE LLC			22	Energy	https://careers.battelle-energy-alliance.com
BEDROCK ENERGY INC			22	Energy	https://careers.bedrock-energy.com
BORREGO ENERGY LLC	CA	OAKLAND	22	Energy	https://careers.borrego-energy.com
BOSTON ENERGY TRADING AND MARKETING LLC	MA	BOSTON	22	Energy	https://careers.boston-energy-trading-and-marketing.com
BROOKFIELD POWER US ASSET MANAGEMENT LLC	NY	NEW YORK	22	Energy	https://careers.brookfield-power-us-asset-management.com
BROOKFIELD RENEWABLE DG US LLC	NY	NEW YORK	22	Energy	https://careers.brookfield-renewable-dg-us.com
BWC HOLDINGS INC D/B/A BLUEWAVE ENERGY	MA	BOSTON	22	Energy	https://careers.bwc-holdings-inc-dba-bluewave-energy.com
CALIFORNIA INDEPENDANT SYSTEM OPERATOR CORPORATION	CA	FOLSOM	22	Energy	https://careers.california-independant-system-operator-corporation.com
CALIFORNIA INDEPENDENT SYSTEM OPERATOR CORPORATION	CA	FOLSOM	22	Energy	https://careers.california-independent-system-operator-corporation.com
CALIFORNIA WATER SERVICE	CA	SAN JOSE	22	Energy	https://careers.california-water-service.com
CALPINE CORPORATION	TX	HOUSTON	22	Energy	https://careers.calpine-corporation.com
CAMERON LNG	TX	HOUSTON	22	Energy	https://careers.cameron-lng.com
CANADIAN SOLAR SSES US INC	CA	WALNUT CREEK	22	Energy	https://careers.canadian-solar-sses.com
CELLINK CORPORATION	CA	SAN CARLOS	22	Energy	https://careers.cellink-corporation.com
CENTERPOINT ENERGY SERVICE COMPANY LLC	TX	HOUSTON	22	Energy	https://careers.centerpoint-energy-service-company.com
CENTRAL HUDSON GAS ELECTRIC CORPORATION	NY	POUGHKEEPSIE	22	Energy	https://careers.central-hudson-gas-electric-corporation.com
CHAPMAN INC	NJ	EATONTOWN	22	Energy	https://careers.chapman.com
CITY OF NAPERVILLE	IL	NAPERVILLE	22	Energy	https://careers.city-of-naperville.com
CLEARWAY ENERGY GROUP LLC	CA	SAN FRANCISCO	22	Energy	https://careers.clearway-energy-group.com
CLECO SUPPORT GROUP LLC	LA	PINEVILLE	22	Energy	https://careers.cleco-support-group.com
COMMONWEALTH EDISON AN EXELON COMPANY	PA	KENNETT SQUARE	22	Energy	https://careers.commonwealth-edison-an-exelon.com
