employer	state	city	naics	category	careers_url
200 TRIBECA RESTAURANT LLC DBA MAR	NY	NEW YORK	72	Hospitality	https://careers.200-tribeca-restaurant-llc-dba-mar.com
2046 BHAG LLC	TX	DALLAS	72	Hospitality	https://careers.2046-bhag.com
910 LLC	PA	BRYN MAWR	72	Hospitality	https://careers.910.com
A MODO MIO INC DBA ET VOILA	DC	WASHINGTON	72	Hospitality	https://careers.a-modo-mio-inc-dba-et-voila.com
AARYAN LLC	MD	UPPER MARLBORO	72	Hospitality	https://careers.aaryan.com
ABSOLUTE HOSPITALITY LP	TX	SAN ANTONIO	72	Hospitality	https://careers.absolute-hospitality.com
AIR STREAM CORP	NY	HAUPPAUGE	72	Hospitality	https://careers.air-stream.com
ALL ELITE HOSPITALITY LLC DBA DELHI ACCENT	NJ	RIDGEWOOD	72	Hospitality	https://careers.all-elite-hospitality-llc-dba-delhi-accent.com
AMBER FOODS INTERNATIONAL INC.	CA	LOS ALTOS	72	Hospitality	https://careers.amber-foods.com
AMBER INDIA ENTERPRISE INC			72	Hospitality	https://careers.amber-india-enterprise.com
ANA HOSPITALITY INC DBA MOTEL 6	VA	FRONT ROYAL	72	Hospitality	https://careers.ana-hospitality-inc-dba-motel-6.com
APPLE AMERICAN GROUP LLC	OH	INDEPENDENCE	72	Hospitality	https://careers.apple-american-group.com
APPU S CAFE	CA	LONG BEACH	72	Hospitality	https://careers.appu-s-cafe.com
ASHA ENTERPRISES LLC DBA MOGHUL CATERERS	NJ	EDISON	72	Hospitality	https://careers.asha-enterprises-llc-dba-moghul-caterers.com
ATELIER ACE LLC	NY	NEW YORK	72	Hospitality	https://careers.atelier-ace.com
BAAN SIAM INC	DC	WASHINGTON	72	Hospitality	https://careers.baan-siam.com
BELGO MOBILE LLC	NY	BROOKLYN	72	Hospitality	https://careers.belgo-mobile.com
BELMOND USA INC	SC	NORTH CHARLESTON	72	Hospitality	https://careers.belmond.com
BEST WESTERN INTERNATIONAL INC	AZ	PHOENIX	72	Hospitality	https://careers.best-western.com
BISTRO MD LLC	FL	NAPLES	72	Hospitality	https://careers.bistro-md.com
BLADES ON 34TH LLC DBA THE LONG HALL PUB GROCERY	NY	NEW YORK	72	Hospitality	https://careers.blades-on-34th-llc-dba-the-long-hall-pub-grocery.com
BLUE BELL USA LLC DBA A2B INDIAN VEG RESTAURANT	NJ	PARASIPPANY	72	Hospitality	https://careers.blue-bell-usa-llc-dba-a2b-indian-veg-restaurant.com
BOMBAY HOUSE HOSPITALITY LLC	NY	NEW YORK	72	Hospitality	https://careers.bombay-house-hospitality.com
BRIGHT WAY LLC	IL	ARLINGTON HEIGHTS	72	Hospitality	https://careers.bright-way.com
BUNBAO COM INC	CA	FREMONT	72	Hospitality	https://careers.bunbao-com.com
BURGERBUSTERS INC	VA	VIRGINIA BEACH	72	Hospitality	https://careers.burgerbusters.com
CAESARS ENTERPRISE SERVICES LLC	NV	LAS VEGAS	72	Hospitality	https://careers.caesars-enterprise-services.com
CAMP ALLEN INC	NH	BEDFORD	72	Hospitality	https://careers.camp-allen.com
CAMPUS AUXILIARY SVCS AT STATE UNIV COLLEGE AT GENESEO NY INC	NY	GENESEO	72	Hospitality	https://careers.campus-auxiliary-svcs-at-state-univ-college-at-geneseo-ny.com
CAPITAL FIRST INVESTMENTS LLC DBA COMFORT INN PENTAGON	VA	ARLINGTON	72	Hospitality	https://careers.capital-first-investments-llc-dba-comfort-inn-pentagon.com
CHANGGE LLC	IN	WEST LAFAYETTE	72	Hospitality	https://careers.changge.com
CHATWORTH LTD D/B/A HOLIDAY INN EXPRESS HOTEL & SUITES	TX	AMARILLO	72	Hospitality	https://careers.chatworth-ltd-dba-holiday-inn-express-hotel-suites.com
CHEFUS CORP	CA	SAN JOSE	72	Hospitality	https://careers.chefus.com
CHOICE HOTELS INTERNATIONAL SERVICES CORP	AZ	SCOTTSDALE	72	Hospitality	https://careers.choice-hotels-international.com
CHUANDE INC	OR	EUGENE	72	Hospitality	https://careers.chuande.com
CHURCH'S CHICKEN	GA	ATLANTA	72	Hospitality	https://careers.churchs-chicken.com
CJJ SONS INC	VA	ANNANDALE	72	Hospitality	https://careers.cjj-sons.com
CLAWDADDY INC	NY	BROOKLYN	72	Hospitality	https://careers.clawdaddy.com
CMG STRTEGY CO LLC	CA	NEWPORT BEACH	72	Hospitality	https://careers.cmg-strtegy-co.com
COMPASS GROUP USA INC	NC	CHARLOTTE	72	Hospitality	https://careers.compass-group.com
COPPER POINT USA LLC	NJ	PISCATAWAY	72	Hospitality	https://careers.copper-point-usa.com
CORE TECH RESORT LLC	GU	TAMUNING	72	Hospitality	https://careers.core-tech-resort.com
CRAB DU JOUR OF CANARSIE PLAZA LLC	NY	BROOKLYN	72	Hospitality	https://careers.crab-du-jour-of-canarsie-plaza.com
CROWNSTAFF LLC	NY	NEW YORK	72	Hospitality	https://careers.crownstaff.com
DARDEN CORPORATION	FL	ORLANDO	72	Hospitality	https://careers.darden-corporation.com
DAVE & BUSTERS	TX	COPPELL	72	Hospitality	https://careers.dave-busters.com
DEEP ENTERPRISES INC	TX	CLINT	72	Hospitality	https://careers.deep-enterprises.com
DELAWARE NORTH COMPANIES INC	NY	BUFFALO	72	Hospitality	https://careers.delaware-north-companies.com
DELUCCA FOOD CONCEPTS LLC DBA DELUCCA PIZZA HOUSE AND WINE	TX	SOUTHLAKE	72	Hospitality	https://careers.delucca-food-concepts-llc-dba-delucca-pizza-house-and-wine.com
DESI DISTRICT LLC	TX	IRVING	72	Hospitality	https://careers.desi-district.com
DEVMIH LLC DBA BEST WESTERN INN	KS	PARSONS	72	Hospitality	https://careers.devmih-llc-dba-best-western-inn.com
DEVSTUTI LLC DBA AKBAR RESTURANT	NJ	EDISON	72	Hospitality	https://careers.devstuti-llc-dba-akbar-resturant.com
DODO LLC	TX	MISSOURI CITY	72	Hospitality	https://careers.dodo.com
DOMINOS PIZZA INC			72	Hospitality	https://careers.dominos-pizza.com
DTS 287 LLC	NJ	SOMERSET	72	Hospitality	https://careers.dts-287.com
EARLY GIRLS LLC DBA PICCINO			72	Hospitality	https://careers.early-girls-llc-dba-piccino.com
EASTWIND HOTEL MANAGEMENT LLC	NY	WINDHAM	72	Hospitality	https://careers.eastwind-hotel-management.com
EBH 18 LLC	NJ	EAST BRUNSWICK	72	Hospitality	https://careers.ebh-18.com
EDISON HOTEL OPERATION LLC DBA SHERATON EDISON HOTEL	NJ	EDISON	72	Hospitality	https://careers.edison-hotel-operation-llc-dba-sheraton-edison-hotel.com
ELLIOT HOTEL INC DBA THE ELLIOT HOTEL	MA	BOSTON	72	Hospitality	https://careers.elliot-hotel-inc-dba-the-elliot-hotel.com
EMMONS HOSPITALITY MANAGEMENT LLC	NY	BROOKLYN	72	Hospitality	https://careers.emmons-hospitality-management.com
EVEREST SPICE LLC DBA SPICE HOUSE	NJ	EDISON	72	Hospitality	https://careers.everest-spice-llc-dba-spice-house.com
EVERGREEN ORIENTAL INC	MI	ANN ARBOR	72	Hospitality	https://careers.evergreen-oriental.com
FAST N FRIENDLY LLC	MO	BATES CITY	72	Hospitality	https://careers.fast-n-friendly.com
FHP SP US MANAGEMENT COMPANY LLC DBA FAIRMONT HERRITAGE PLACE GHIRARDELI SQUARE	CA	SAN FRANCISCO	72	Hospitality	https://careers.fhp-sp-us-management-company-llc-dba-fairmont-herritage-place-ghirardeli-square.com
FINE HOSPITALITY LLC	CA	BREA	72	Hospitality	https://careers.fine-hospitality.com
FLYING FOOD GROUP LLC	IL	CHICAGO	72	Hospitality	https://careers.flying-food-group.com
FRANCHISE WORLD HEADQUARTERS LLC	CT	MILFORD	72	Hospitality	https://careers.franchise-world-headquarters.com
FRENCHMANS CREEK, INC.	FL	PALM BCH GDNS	72	Hospitality	https://careers.frenchmans-creek.com
GALAXY LLC DBA RED ROOF INN	GA	KENNESAW	72	Hospitality	https://careers.galaxy-llc-dba-red-roof-inn.com
GATE GOURMET INC	VA	RESTON	72	Hospitality	https://careers.gate-gourmet.com
GOD TORONITA LLC DBA FOUR POINTS SHERATON YORK PA	PA	YORK	72	Hospitality	https://careers.god-toronita-llc-dba-four-points-sheraton-york.com
