employer	state	city	naics	category	careers_url
A E TELEVISION NETWORKS LLC	NY	NEW YORK	51	Media & Entertainment	https://careers.a-e-television-networks.com
A2 MEDIA CORPORATION	MI	ANN ARBOR	51	Media & Entertainment	https://careers.a2-media-corporation.com
A360 MEDIA LLC	NY	NEW YORK	51	Media & Entertainment	https://careers.a360-media.com
A4 MEDIA LLC	NY	LONG ISLAND CITY	51	Media & Entertainment	https://careers.a4-media.com
ACE ACADEMIC PUBLISHING INC	CA	DUBLIN	51	Media & Entertainment	https://careers.ace-academic-publishing.com
ACTIVISION PUBLISHING INC	CA	SANTA MONICA	51	Media & Entertainment	https://careers.activision-publishing.com
ARGUS MEDIA INC	TX	HOUSTON	51	Media & Entertainment	https://careers.argus-media.com
ASK MEDIA GROUP LLC	CA	OAKLAND	51	Media & Entertainment	https://careers.ask-media-group.com
ATLANTA RADIO KOREA INC	GA	DULUTH	51	Media & Entertainment	https://careers.atlanta-radio-korea.com
BAREUN MEDIA INC	VA	FAIRFAX	51	Media & Entertainment	https://careers.bareun-media.com
BLIZZARD ENTERTAINMENT INC			51	Media & Entertainment	https://careers.blizzard-entertainment.com
BOSTON GLOBE MEDIA PARTNERS LLC	MA	BOSTON	51	Media & Entertainment	https://careers.boston-globe-media-partners.com
CALLISTO MEDIA INC	CA	OAKLAND	51	Media & Entertainment	https://careers.callisto-media.com
CHINA TV MEDIA GROUP INC	CA	IRWINDALE	51	Media & Entertainment	https://careers.china-tv-media.com
CHINESE INFORMATION RADIO DBA SING TAO CHINESE RADIO	CA	BURLINGAME	51	Media & Entertainment	https://careers.chinese-information-radio-dba-sing-tao-chinese-radio.com
CMI MARKETING INC DBA CAFEMEDIA	NY	NEW YORK	51	Media & Entertainment	https://careers.cmi-marketing-inc-dba-cafemedia.com
CUMULUS MEDIA NEW HOLDINGS INC	GA	ATLANTA	51	Media & Entertainment	https://careers.cumulus-media-new.com
DEFINITIVE MEDIA CORP DBA THREAD	CA	TUSTIN	51	Media & Entertainment	https://careers.definitive-media-corp-dba-thread.com
DELUXE MEDIA INC.	CA	BURBANK	51	Media & Entertainment	https://careers.deluxe-media.com
DISNEY STREAMING ENTERPRISES SERVICES CO LLC	CA	BURBANK	51	Media & Entertainment	https://careers.disney-streaming-enterprises-services-co.com
DISNEY STREAMING SERVICES LLC	CA	BURBANK	51	Media & Entertainment	https://careers.disney-streaming-services.com
DOTDASH MEDIA INC	NY	NEW YORK	51	Media & Entertainment	https://careers.dotdash-media.com
DREAMCRAFT ENTERTAINMENT INC	CA	REDWOOD CITY	51	Media & Entertainment	https://careers.dreamcraft-entertainment.com
DREAMWORKS ANIMATION TELEVISION LLC	CA	GLENDALE	51	Media & Entertainment	https://careers.dreamworks-animation-television.com
EQUINOX MEDIA LLC	NY	NEW YORK	51	Media & Entertainment	https://careers.equinox-media.com
ESSEX MEDIA GROUP INC	MA	LYNN	51	Media & Entertainment	https://careers.essex-media.com
EVERYDAY HEALTH MEDIA LLC	NY	NEW YORK	51	Media & Entertainment	https://careers.everyday-health-media.com
FM SEOUL BANG SONG INC DBA RADIO SEOUL	CA	LOS ANGELES	51	Media & Entertainment	https://careers.fm-seoul-bang-song-inc-dba-radio-seoul.com
FORBES MEDIA LLC	NJ	JERSEY CITY	51	Media & Entertainment	https://careers.forbes-media.com
FOX NEWS NETWORK LLC	CA	LOS ANGELES	51	Media & Entertainment	https://careers.fox-news-network.com
FUBOTV MEDIA INC	NY	NEW YORK	51	Media & Entertainment	https://careers.fubotv-media.com
G5 ENTERTAINMENT INC	CA	SAN RAFAEL	51	Media & Entertainment	https://careers.g5-entertainment.com
GEARBOX PUBLISHING SAN FRANCISCO INC	CA	REDWOOD CITY	51	Media & Entertainment	https://careers.gearbox-publishing-san-francisco.com
HALON ENTERTAINMENT LLC	CA	SANTA MONICA	51	Media & Entertainment	https://careers.halon-entertainment.com
HEARST BUSINESS MEDIA CORPORATION	GA	LAWRENCEVILLE	51	Media & Entertainment	https://careers.hearst-business-media-corporation.com
HEARST BUSINESS PUBLISHING INC	NY	NEW YORK	51	Media & Entertainment	https://careers.hearst-business-publishing.com
HEARST MAGAZINE MEDIA INC	NY	NEW YORK	51	Media & Entertainment	https://careers.hearst-magazine-media.com
HOUGHTON MIFFLIN HARCOURT PUBLISHING COMPANY	MA	BOSTON	51	Media & Entertainment	https://careers.houghton-mifflin-harcourt-publishing.com
IHEARTMEDIA ENTERTAINMENT INC	TX	SAN ANTONIO	51	Media & Entertainment	https://careers.iheartmedia-entertainment.com
