employer	state	city	naics	category	careers_url
1 800 FLOWERS COM INC	NY	JERICHO	45	Retail & E-commerce	https://careers.1-800-flowers-com.com
101 SMOKE SHOP 3 LLC	FL	GAINESVILLE	45	Retail & E-commerce	https://careers.101-smoke-shop-3.com
161 ST PHARMA INC DBA 161 ST PHARMACY SURGICAL SUPPLIES	NY	BRONX	44	Retail & E-commerce	https://careers.161-st-pharma-inc-dba-161-st-pharmacy-surgical-supplies.com
1661 INC D B A GOAT			45	Retail & E-commerce	https://careers.1661-inc-d-b-a-goat.com
1RIVET INTERNATIONAL	VA	RESTON	45	Retail & E-commerce	https://careers.1rivet.com
2401FOREVER LLC	CA	CUPERTINO	45	Retail & E-commerce	https://careers.2401forever.com
2GO PRODUCTS LLC	CA	SAN DIEGO	45	Retail & E-commerce	https://careers.2go-products.com
309 CENTRAL LLC	NY	ALBANY	44	Retail & E-commerce	https://careers.309-central.com
7 ELEVEN INC			44	Retail & E-commerce	https://careers.7-eleven.com
A9.COM INC			45	Retail & E-commerce	https://careers.a9com.com
ABERCROMBIE & FITCH MANAGEMENT CO	OH	NEW ALBANY	44	Retail & E-commerce	https://careers.abercrombie-fitch-management.com
ACADEMY LTD DBA ACADEMY SPORTS & OUTDOORS			45	Retail & E-commerce	https://careers.academy-ltd-dba-academy-sports-outdoors.com
ADORAMA INC	NY	NEW YORK	44	Retail & E-commerce	https://careers.adorama.com
ADUSA PROCUREMENT LLC	NC	SALISBURY	44	Retail & E-commerce	https://careers.adusa-procurement.com
ADUSA SUPPLY CHAIN SERVICES LLC	PA	CARLISLE	44	Retail & E-commerce	https://careers.adusa-supply-chain-services.com
ADVANCE AUTO BUSINESS SUPPORT LLC	NC	RALEIGH	44	Retail & E-commerce	https://careers.advance-auto-business-support.com
ADVANCE STORES COMPANY INCORPORATED	NC	RALEIGH	44	Retail & E-commerce	https://careers.advance-stores-company-incorporated.com
ADVANCED RX RETURNS	NJ	JERSEY CITY	44	Retail & E-commerce	https://careers.advanced-rx-returns.com
ADVERTEX COMMUNICATIONS INC	GA	DULUTH	45	Retail & E-commerce	https://careers.advertex-communications.com
AFFORDABLE WIRELESS LLC	TX	CONROE	45	Retail & E-commerce	https://careers.affordable-wireless.com
AGRIUM US INC	CO	LOVELAND	44	Retail & E-commerce	https://careers.agrium.com
AI INTERNATIONAL LLC	NJ	PLAINFIELD	45	Retail & E-commerce	https://careers.ai-international.com
AINA BUILDING MATERIAL INC	CA	WALNUT	44	Retail & E-commerce	https://careers.aina-building-material.com
AIRBUS AMERICAS INC	VA	HERNDON	44	Retail & E-commerce	https://careers.airbus-americas.com
ALBERTSON S LLC	CA	PLEASANTON	44	Retail & E-commerce	https://careers.albertson-s.com
ALCHEMEE LLC	CA	SANTA MONICA	45	Retail & E-commerce	https://careers.alchemee.com
ALEXA INTERNET	VA	ARLINGTON	45	Retail & E-commerce	https://careers.alexa-internet.com
ALLDATA LLC	CA	ELK GROVE	44	Retail & E-commerce	https://careers.alldata.com
ALLURE LABS LLC	CA	HAYWARD	44	Retail & E-commerce	https://careers.allure-labs.com
ALTAIR SERVICES INC DBA DUNKIN DONUTS	PA	COLLINGDALE	44	Retail & E-commerce	https://careers.altair-services-inc-dba-dunkin-donuts.com
ALTITUDE HOLDINGS SERVICES INC DBA ROCKY MOUNTAIN YETI GROUP	WY	JACKSON	44	Retail & E-commerce	https://careers.altitude-holdings-services-inc-dba-rocky-mountain-yeti.com
ALTO PHARMACY LLC	CA	SAN FRANCISCO	44	Retail & E-commerce	https://careers.alto-pharmacy.com
AMAYA PHARMACY CORP	NY	FLUSHING	45	Retail & E-commerce	https://careers.amaya-pharmacy.com
AMAZON ADVERTISING LLC			45	Retail & E-commerce	https://careers.amazon-advertising.com
AMAZON CAPITAL SERVICES INC	VA	ARLINGTON	45	Retail & E-commerce	https://careers.amazon-capital.com
AMAZON COM SERVICES LLC	VA	ARLINGTON	45	Retail & E-commerce	https://careers.amazon-com-services.com
AMAZON MECHANICAL TURK INC	VA	ARLINGTON	45	Retail & E-commerce	https://careers.amazon-mechanical-turk.com
AMAZON MEDIA VENTURE LLC			45	Retail & E-commerce	https://careers.amazon-media-venture.com
AMAZON RETAIL LLC	VA	ARLINGTON	45	Retail & E-commerce	https://careers.amazon-retail.com
AMAZON STUDIOS LLC			45	Retail & E-commerce	https://careers.amazon-studios.com
AMAZON WEB SERVICES INC	VA	ARLINGTON	45	Retail & E-commerce	https://careers.amazon-web.com
AMAZON.COM SERVICES LLC	VA	ARLINGTON	45	Retail & E-commerce	https://careers.amazoncom-services.com
AMAZON.COM.CA INC	VA	ARLINGTON	45	Retail & E-commerce	https://careers.amazoncomca.com
AMERICAN DRUG CENTER INC	VA	NORFOLK	44	Retail & E-commerce	https://careers.american-drug-center.com
AMERICAN EAGLE OUTFITTERS INC	PA	PITTSBURGH	44	Retail & E-commerce	https://careers.american-eagle-outfitters.com
AMERICAN SIGNATURE INC	OH	COLUMBUS	44	Retail & E-commerce	https://careers.american-signature.com
AMERICAN SPECIALTY PHARMACY INC DBA ASP CARES	TX	DALLAS	44	Retail & E-commerce	https://careers.american-specialty-pharmacy-inc-dba-asp-cares.com
AMERICAN STANDARD JEWELERS INC	MD	COLUMBIA	44	Retail & E-commerce	https://careers.american-standard-jewelers.com
AMSCAN INC	NY	ELMSFORD	45	Retail & E-commerce	https://careers.amscan.com
AMY OIL AND GAS INC	TX	JASPER	44	Retail & E-commerce	https://careers.amy-oil-and-gas.com
AN&U INC D B A VCARE PHARMACY	TX	JACKSONVILLE	44	Retail & E-commerce	https://careers.anu-inc-d-b-a-vcare-pharmacy.com
ANDERSON BROS FLORIN SQUARE PHARMACY INC	CA	SACRAMENTO	44	Retail & E-commerce	https://careers.anderson-bros-florin-square-pharmacy.com
ANNAPURNA LABS US INC	VA	ARLINGTON	45	Retail & E-commerce	https://careers.annapurna-labs.com
ARMADILLOTEK INC	TX	FRISCO	44	Retail & E-commerce	https://careers.armadillotek.com
AROMAZ HOME IMPROVEMENT INC	NJ	TRENTON	44	Retail & E-commerce	https://careers.aromaz-home-improvement.com
ARTH LLC	FL	LEHIGH ACRES	44	Retail & E-commerce	https://careers.arth.com
ASHOK G LLC	AK	KETCHIKAN	44	Retail & E-commerce	https://careers.ashok-g.com
ASSURE RX PHARMACY LLC	TX	SAN ANTONIO	44	Retail & E-commerce	https://careers.assure-rx-pharmacy.com
ASTRA SURFACES LLC	NJ	LINDEN	44	Retail & E-commerce	https://careers.astra-surfaces.com
ATALANTA CORPORATION	NJ	ELIZABETH	44	Retail & E-commerce	https://careers.atalanta-corporation.com
AUDIBLE INC			45	Retail & E-commerce	https://careers.audible.com
AUROMIRA CORP DBA DIMAS PHARMACY	CA	BAKERSFIELD	44	Retail & E-commerce	https://careers.auromira-corp-dba-dimas-pharmacy.com
AURORA CARES LLC DBA ASP CARES HOUSTON	TX	HOUSTON	44	Retail & E-commerce	https://careers.aurora-cares-llc-dba-asp-cares-houston.com
AURORA TRADING INC	CA	SAN DIEGO	44	Retail & E-commerce	https://careers.aurora-trading.com
AUTO TECHLABS INC			44	Retail & E-commerce	https://careers.auto-techlabs.com
AUTONATION INC D/B/A AUTONATION CORP MGMT LLC			44	Retail & E-commerce	https://careers.autonation-inc-dba-autonation-corp-mgmt.com
AUTOZONE INC			44	Retail & E-commerce	https://careers.autozone.com
AWSAF INC DBA SPORTIVE	FL	SUNRISE	44	Retail & E-commerce	https://careers.awsaf-inc-dba-sportive.com
AZAZIE INC	CA	SAN JOSE	45	Retail & E-commerce	https://careers.azazie.com
BABYLIST INC	CA	OAKLAND	45	Retail & E-commerce	https://careers.babylist.com
BACKCOUNTRY COM LLC	UT	PARK CITY	45	Retail & E-commerce	https://careers.backcountry-com.com
BAIK BRANDS INC DBA SHOPMISSA.COM	TX	DALLAS	45	Retail & E-commerce	https://careers.baik-brands-inc-dba-shopmissacom.com
BALSAM BRANDS INC	CA	REDWOOD CITY	45	Retail & E-commerce	https://careers.balsam-brands.com
BANSI CORPORATION D B A TOTAL CARE PHARMACY	CA	BEAUMONT	44	Retail & E-commerce	https://careers.bansi-corporation-d-b-a-total-care-pharmacy.com
BARKBOX INC	NY	NEW YORK	45	Retail & E-commerce	https://careers.barkbox.com
BASS PRO LLC	MO	SPRINGFIELD	45	Retail & E-commerce	https://careers.bass-pro.com
BATH & BODY WORKS BRAND MANAGEMENT INC	OH	COLUMBUS	44	Retail & E-commerce	https://careers.bath-body-works-brand-management.com
