employer	state	city	naics	category	careers_url
ACCESS SERVICES	CA	EL MONTE	48	Transportation	https://careers.access.com
ADVANCED INTERNATIONAL FREIGHT INC	NJ	SECAUCUS	48	Transportation	https://careers.advanced-international-freight.com
AGERO ADMINISTRATIVE SERVICE CORP	MA	MEDFORD	48	Transportation	https://careers.agero-administrative-service.com
AIR WISCONSIN AIRLINES LLC	WI	APPLETON	48	Transportation	https://careers.air-wisconsin-airlines.com
AIRSPACE TECHNOLOGIES INC	CA	CARLSBAD	48	Transportation	https://careers.airspace.com
ALASKA AIRLINES INC	WA	SEATTLE	48	Transportation	https://careers.alaska-airlines.com
ALL ACCESS COACH LEASING LLC	TN	GALLATIN	48	Transportation	https://careers.all-access-coach-leasing.com
ALL HEAVY MOVERS USA LLC	TX	PHARR	48	Transportation	https://careers.all-heavy-movers-usa.com
ALLEGIANT AIR LLC	NV	LAS VEGAS	48	Transportation	https://careers.allegiant-air.com
ALLIANCE AVIATION INC	FL	FORT LAUDERDALE	48	Transportation	https://careers.alliance-aviation.com
AMADA SHIPPING INC	CA	CITY OF INDUSTRY	48	Transportation	https://careers.amada-shipping.com
AMERICAN AIRLINES INC			48	Transportation	https://careers.american-airlines.com
AMERICAN INTERNATIONAL FORWARDING INC D/B/A AMERICAN INTERNATIONAL RELOCATION SOLUTIONS LLC	PA	PITTSBURGH	48	Transportation	https://careers.american-international-forwarding-inc-dba-american-international-relocation-solutions.com
AMERICOLD LOGISTICS LLC			49	Transportation	https://careers.americold-logistics.com
AOG RESOURCES LLC	CA	REDONDO BEACH	48	Transportation	https://careers.aog-resources.com
ARMSTRONG LOGISTIC INC	CA	ROWLAND HEIGHTS	49	Transportation	https://careers.armstrong-logistic.com
ATLAS AIR INC	NY	PURCHASE	48	Transportation	https://careers.atlas-air.com
AWESUNG INC	NJ	CRANBURY	49	Transportation	https://careers.awesung.com
BDK LOGISTICS INTELLIGENCE INC	CA	MIRA LOMA	49	Transportation	https://careers.bdk-logistics-intelligence.com
