ACE SOFTWARE LLC	AZ	GLENDALE
ARTHA DATA SOLUTIONS LLC	AZ	SCOTTSDALE
ASB INFOTECH LLC	AZ	PHOENIX
AVT TECHNOLOGY SOLUTIONS LLC	AZ	TEMPE
BNB TECH SOURCE INC DBA MEGNITY TECHNOLOGIES	AZ	CHANDLER
CLAIRVOYANT AL INC	AZ	CHANDLER
CLARIVATE ANALYTICS US LLC	AZ	CHANDLER
CLOUD DATA LLC	AZ	PHOENIX
EDAIS ENGINEERING INC	AZ	YUMA
GALAXY I TECHNOLOGIES INC	AZ	SCOTTSDALE
GENESES TECH SOLUTIONS LLC	AZ	TEMPE
ICUBE TECHNOLOGY INC	AZ	MESA
INFUSION SOFTWARE INC DBA KEAP	AZ	CHANDLER
INHERENT TECHNOLOGIES LLC	AZ	CHANDLER
IVIS TECHNOLOGIES LLC	AZ	PHOENIX
JOB AIRE GROUP INC	AZ	TUCSON
METASOFTTECH SOLUTIONS LLC	AZ	CHANDLER
MINDQUEST TECHNOLOGY SOLUTIONS LLC	AZ	PHOENIX
NAAS TECHNOLOGIES LLC	AZ	PHOENIX
PLAIN GREEN LLC	AZ	SCOTTSDALE
RADIUSAI INC	AZ	TEMPE
REGION TECHNOLOGIES INC	AZ	PHOENIX
SAHI SOFTTECH INC	AZ	CHANDLER
SAVVY DATA SOLUTIONS INC	AZ	MESA
SPARK INFOTECH	AZ	SCOTTSDALE
TECH FABRIC LLC	AZ	GILBERT
TECHFLURRY SOLUTIONS LLC	AZ	PHOENIX
TECHMILEAGE SOFTWARE SOLUTIONS LLC DBA SCIATA	AZ	SCOTTSDALE
TECHNIVAS LLC	AZ	TEMPE
TECHNOPRISM LLC	AZ	MESA
TECHZOID SOLUTIONS LLC	AZ	PHOENIX
TEKTASTIC TECHNICAL SERVICES LLC	AZ	PHOENIX
TITLE21 SOFTWARE INC	AZ	PHOENIX
VERTECH INDUSTRIAL SYSTEMS LLC	AZ	PHOENIX
VHL TECHNOLOGIES INC	AZ	PHOENIX
VMC SOFT TECHNOLOGIES INC	AZ	SCOTTSDALE
VOKERTECH INC	AZ	SCOTTSDALE
24 7 AI INC	CA	CAMPBELL
3K TECHNOLOGIES LLC	CA	MILPITAS
A & C TECHNOLOGY INC	CA	NEWPORT BEACH
A 1 TECHNOLOGY INC	CA	AGOURA HILLS
ABACUS AI INC	CA	SAN FRANCISCO
ABINFOTECHNOLOGIES LLC	CA	SANTA CLARITA
ABSOLUTDATA TECHNOLOGIES INC.	CA	ALAMEDA
ABSOLUTE GRAPHIC TECHNOLOGIES USA INC	CA	CORONA
ACCRETE HITECH SOLUTIONS INC	CA	SANTA CLARA
ACE TECHNOLOGIES INC	CA	SAN JOSE
ACKERMAN TECHNOLOGIES LLC	CA	UNION CITY
ACME TECHNOLOGIES INC	CA	SAN JOSE
ADEPT CHIP TECHNOLOGIES INC	CA	SUNNYVALE
ADIN TECHNOLOGIES INC	CA	DUBLIN
ADVANCED INTELLIGENT CONSTRUCTION TECHNOLOGY INC	CA	TORRANCE
ADVANTAGE SALES &MARKETING,LLC	CA	IRVINE
ADVENT SOFTWARE INC	CA	SAN FRANCISCO
ADVERUM BIOTECHNOLOGIES INC	CA	REDWOOD CITY
AERA TECHNOLOGY INC	CA	MOUNTAIN VIEW
AERO TECHNOLOGIES INC	CA	OAKLAND
AERO VECT TECHNOLOGIES INC	CA	SOUTH SAN FRANCISCO
AFFINE TECH SYSTEMS LLC	CA	FREMONT
AFRESH TECHNOLOGIES INC D/B/A AFRESH	CA	SAN FRANCISCO
AGENT IQ INC	CA	SAN FRANCISCO
AGILE DATAPRO INC	CA	CAMPBELL
AGILITY SOFTWARE SOLUTIONS LLC	CA	SACRAMENTO
AHANA CLOUD INC	CA	SAN MATEO
AHANA CLOUD INC	CA	SANTA CRUZ
AIBEE US CORPORATION	CA	PALO ALTO
AICADIUM, INC.	CA	SAN DIEGO
AIDASH	CA	SAN JOSE
AIFI INC	CA	MENLO PARK
AIPRISE INC	CA	PALO ALTO
AIRBYTE INC	CA	SAN FRANCISCO
AIRCOM PACIFIC INC	CA	FREMONT
AIRGAP NETWORKS INC	CA	SAN JOSE
AIRNA CORPORATION	CA	STANFORD
AIRWALLEX US LLC	CA	SAN FRANCISCO
AISERA INC	CA	AGOURA HILLS
AISERA INC	CA	PALO ALTO
AITRONX INC	CA	SAN JOSE
AIXTRON INC	CA	SANTA CLARA
ALCATRAZ AI INC	CA	CUPERTINO
ALFA TECH CONSULTING ENGINEERS INC	CA	SAN JOSE
ALIBABA CLOUD US LLC	CA	SUNNYVALE
ALL TAILS WAGGING SANTA ROSA INC DBA ALL TAILS WAGGING VETERINARY CLINIC	CA	SANTA ROSA
ALLIANCE FOR SUSTAINABLE ENERGY LLC	CA	SANTA MONICA
ALLTRAILS INC	CA	SAN FRANCISCO
ALPHA NUMERO TECHNOLOGY SOLUTIONS	CA	IRVINE
ALT PLATFORMS INC	CA	SAN FRANCISCO
AMERICAN SHENGSHENG SUPPLY CHAIN LLC	CA	SAN JOSE
AMPAIRE INC	CA	HAWTHORNE
ANAYA TECHNOLOGIES INC	CA	NEWARK
ANGLER AI INC	CA	RESEDA
ANT TECHNOLOGIES U S INC	CA	SUNNYVALE
